Number,Name,Position,Age,Nation,Team,Value
1,Kylian Mbappé,Centre-Forward,22,France,Paris Saint-Germain,€160.00m
2,Erling Haaland,Centre-Forward,21,Norway,Borussia Dortmund,€150.00m
3,Harry Kane,Centre-Forward,28,England,Tottenham Hotspur,€120.00m
4,Jack Grealish,Left Winger,26,England,Manchester City,€100.00m
5,Mohamed Salah,Right Winger,29,Egypt,Liverpool FC,€100.00m
6,Romelu Lukaku,Centre-Forward,28,Belgium,Chelsea FC,€100.00m
7,Kevin De Bruyne,Attacking Midfield,30,Belgium,Manchester City,€100.00m
8,Neymar,Left Winger,29,Brazil,Paris Saint-Germain,€100.00m
9,Jadon Sancho,Left Winger,21,England,Manchester United,€90.00m
10,Frenkie de Jong,Central Midfield,24,Netherlands,FC Barcelona,€90.00m
11,Bruno Fernandes,Attacking Midfield,27,Portugal,Manchester United,€90.00m
12,Joshua Kimmich,Defensive Midfield,26,Germany,Bayern Munich,€90.00m
13,Raheem Sterling,Left Winger,27,England,Manchester City,€90.00m
14,Marcus Rashford,Left Winger,24,England,Manchester United,€85.00m
15,Sadio Mané,Left Winger,29,Senegal,Liverpool FC,€85.00m
16,Heung-min Son,Left Winger,29,"Korea, South",Tottenham Hotspur,€85.00m
17,Pedri,Central Midfield,19,Spain,FC Barcelona,€80.00m
18,Phil Foden,Central Midfield,21,England,Manchester City,€80.00m
19,Lautaro Martínez,Centre-Forward,24,Argentina,Inter Milan,€80.00m
20,Marcos Llorente,Central Midfield,26,Spain,Atlético de Madrid,€80.00m
21,Lionel Messi,Right Winger,34,Argentina,Paris Saint-Germain,€80.00m
22,Mason Mount,Attacking Midfield,22,England,Chelsea FC,€75.00m
23,Trent Alexander-Arnold,Right-Back,23,England,Liverpool FC,€75.00m
24,Rúben Dias,Centre-Back,24,Portugal,Manchester City,€75.00m
25,Marquinhos,Centre-Back,27,Brazil,Paris Saint-Germain,€75.00m
26,Jude Bellingham,Central Midfield,18,England,Borussia Dortmund,€70.00m
27,João Félix,Second Striker,22,Portugal,Atlético de Madrid,€70.00m
28,Alphonso Davies,Left-Back,21,Canada,Bayern Munich,€70.00m
29,Achraf Hakimi,Right-Back,23,Morocco,Paris Saint-Germain,€70.00m
30,Declan Rice,Defensive Midfield,22,England,West Ham United,€70.00m
31,Rodri,Defensive Midfield,25,Spain,Manchester City,€70.00m
32,Mikel Oyarzabal,Left Winger,24,Spain,Real Sociedad,€70.00m
33,Federico Chiesa,Right Winger,24,Italy,Juventus FC,€70.00m
34,Matthijs de Ligt,Centre-Back,22,Netherlands,Juventus FC,€70.00m
35,Kai Havertz,Attacking Midfield,22,Germany,Chelsea FC,€70.00m
36,Sergej Milinković-Savić,Central Midfield,26,Serbia,SS Lazio,€70.00m
37,Bernardo Silva,Attacking Midfield,27,Portugal,Manchester City,€70.00m
38,Raphaël Varane,Centre-Back,28,France,Manchester United,€70.00m
39,Serge Gnabry,Right Winger,26,Germany,Bayern Munich,€70.00m
40,Leon Goretzka,Central Midfield,26,Germany,Bayern Munich,€70.00m
41,Jan Oblak,Goalkeeper,28,Slovenia,Atlético de Madrid,€70.00m
42,Casemiro,Defensive Midfield,29,Brazil,Real Madrid,€70.00m
43,Florian Wirtz,Attacking Midfield,18,Germany,Bayer 04 Leverkusen,€65.00m
44,Bukayo Saka,Left Midfield,20,England,Arsenal FC,€65.00m
45,Federico Valverde,Central Midfield,23,Uruguay,Real Madrid,€65.00m
46,Gianluigi Donnarumma,Goalkeeper,22,Italy,Paris Saint-Germain,€65.00m
47,Nicolò Barella,Central Midfield,24,Italy,Inter Milan,€65.00m
48,Andrew Robertson,Left-Back,27,Scotland,Liverpool FC,€65.00m
49,Ansu Fati,Left Winger,19,Spain,FC Barcelona,€60.00m
50,Jules Koundé,Centre-Back,23,France,Sevilla FC,€60.00m
